decade,ctr2,V1,Region
700,de_south,1,Southern Germany
720,de_south,1,Southern Germany
740,de_south,2,Southern Germany
760,de_south,10,Southern Germany
780,de_south,6,Southern Germany
800,de_south,3,Southern Germany
820,de_south,18,Southern Germany
840,de_south,18,Southern Germany
860,de_south,18,Southern Germany
880,de_south,14,Southern Germany
900,de_south,16,Southern Germany
920,de_south,9,Southern Germany
940,de_south,12,Southern Germany
960,de_south,16,Southern Germany
980,de_south,12,Southern Germany
1000,de_south,14,Southern Germany
1020,de_south,28,Southern Germany
1040,de_south,24,Southern Germany
1060,de_south,30,Southern Germany
1080,de_south,27,Southern Germany
1100,de_south,25,Southern Germany
1120,de_south,25,Southern Germany
1140,de_south,25,Southern Germany
1160,de_south,31,Southern Germany
1180,de_south,26,Southern Germany
1200,de_south,27,Southern Germany
1220,de_south,20,Southern Germany
1240,de_south,29,Southern Germany
1260,de_south,37,Southern Germany
1280,de_south,38,Southern Germany
1300,de_south,34,Southern Germany
1320,de_south,33,Southern Germany
1340,de_south,42,Southern Germany
1360,de_south,40,Southern Germany
1380,de_south,34,Southern Germany
1400,de_south,36,Southern Germany
1420,de_south,44,Southern Germany
1440,de_south,49,Southern Germany
1460,de_south,50,Southern Germany
1480,de_south,47,Southern Germany
1500,de_south,44,Southern Germany
700,it_north,22,Northern Italy
720,it_north,30,Northern Italy
740,it_north,32,Northern Italy
760,it_north,31,Northern Italy
780,it_north,31,Northern Italy
800,it_north,31,Northern Italy
820,it_north,40,Northern Italy
840,it_north,40,Northern Italy
860,it_north,39,Northern Italy
880,it_north,37,Northern Italy
900,it_north,38,Northern Italy
920,it_north,40,Northern Italy
940,it_north,42,Northern Italy
960,it_north,44,Northern Italy
980,it_north,42,Northern Italy
1000,it_north,48,Northern Italy
1020,it_north,60,Northern Italy
1040,it_north,61,Northern Italy
1060,it_north,62,Northern Italy
1080,it_north,59,Northern Italy
1100,it_north,56,Northern Italy
1120,it_north,79,Northern Italy
1140,it_north,84,Northern Italy
1160,it_north,94,Northern Italy
1180,it_north,80,Northern Italy
1200,it_north,78,Northern Italy
1220,it_north,79,Northern Italy
1240,it_north,100,Northern Italy
1260,it_north,114,Northern Italy
1280,it_north,95,Northern Italy
1300,it_north,105,Northern Italy
1320,it_north,86,Northern Italy
1340,it_north,72,Northern Italy
1360,it_north,68,Northern Italy
1380,it_north,63,Northern Italy
1400,it_north,64,Northern Italy
1420,it_north,55,Northern Italy
1440,it_north,56,Northern Italy
1460,it_north,72,Northern Italy
1480,it_north,72,Northern Italy
1500,it_north,86,Northern Italy
700,uk_south,0,Southern UK
720,uk_south,11,Southern UK
740,uk_south,11,Southern UK
760,uk_south,11,Southern UK
780,uk_south,11,Southern UK
800,uk_south,11,Southern UK
820,uk_south,12,Southern UK
840,uk_south,12,Southern UK
860,uk_south,12,Southern UK
880,uk_south,12,Southern UK
900,uk_south,12,Southern UK
920,uk_south,7,Southern UK
940,uk_south,7,Southern UK
960,uk_south,8,Southern UK
980,uk_south,11,Southern UK
1000,uk_south,10,Southern UK
1020,uk_south,7,Southern UK
1040,uk_south,6,Southern UK
1060,uk_south,9,Southern UK
1080,uk_south,9,Southern UK
1100,uk_south,19,Southern UK
1120,uk_south,30,Southern UK
1140,uk_south,30,Southern UK
1160,uk_south,30,Southern UK
1180,uk_south,23,Southern UK
1200,uk_south,29,Southern UK
1220,uk_south,29,Southern UK
1240,uk_south,28,Southern UK
1260,uk_south,29,Southern UK
1280,uk_south,27,Southern UK
1300,uk_south,27,Southern UK
1320,uk_south,25,Southern UK
1340,uk_south,23,Southern UK
1360,uk_south,20,Southern UK
1380,uk_south,23,Southern UK
1400,uk_south,18,Southern UK
1420,uk_south,20,Southern UK
1440,uk_south,19,Southern UK
1460,uk_south,25,Southern UK
1480,uk_south,20,Southern UK
1500,uk_south,19,Southern UK
700,fr_south,0,Southern France
720,fr_south,45,Southern France
740,fr_south,45,Southern France
760,fr_south,47,Southern France
780,fr_south,49,Southern France
800,fr_south,50,Southern France
820,fr_south,56,Southern France
840,fr_south,55,Southern France
860,fr_south,57,Southern France
880,fr_south,53,Southern France
900,fr_south,53,Southern France
920,fr_south,38,Southern France
940,fr_south,36,Southern France
960,fr_south,38,Southern France
980,fr_south,36,Southern France
1000,fr_south,35,Southern France
1020,fr_south,47,Southern France
1040,fr_south,49,Southern France
1060,fr_south,52,Southern France
1080,fr_south,55,Southern France
1100,fr_south,66,Southern France
1120,fr_south,70,Southern France
1140,fr_south,71,Southern France
1160,fr_south,70,Southern France
1180,fr_south,66,Southern France
1200,fr_south,63,Southern France
1220,fr_south,48,Southern France
1240,fr_south,48,Southern France
1260,fr_south,55,Southern France
1280,fr_south,60,Southern France
1300,fr_south,62,Southern France
